num_id,lang_family,lang_name,lang_id_udhr,text_udhr
001,Afroasiatic,Amharic,udhr_amharic,&#x12E8;&#x1230;&#x12CD;&#x1361;&#x120D;&#x1305;&#x1361;&#x1201;&#x1209;&#x1361;&#x1232;&#x12C8;&#x1208;&#x12F5;&#x1361;&#x1290;&#x133B;&#x1293;&#x1361;&#x1260;&#x12AD;&#x1265;&#x122D;&#x1293;&#x1361;&#x1260;&#x1218;&#x1265;&#x1275;&#x121D;&#x1361;&#x12A5;&#x12A9;&#x120D;&#x1290;&#x1275;&#x1361;&#x12EB;&#x1208;&#x12CD;&#x1361;&#x1290;&#x12CD;&#x1362;&#x1361;&#x12E8;&#x1270;&#x1348;&#x1325;&#x122E;&#x1361;&#x121B;&#x1235;&#x1270;&#x12CB;&#x120D;&#x1293;&#x1361;&#x1215;&#x120A;&#x1293;&#x1361;&#x1235;&#x120B;&#x1208;&#x12CD;&#x1361;&#x12A0;&#x1295;&#x12F1;&#x1361;&#x120C;&#x120B;&#x12CD;&#x1295;&#x1361;&#x1260;&#x12C8;&#x1295;&#x12F5;&#x121B;&#x121B;&#x127D;&#x1290;&#x1275;&#x1361;&#x1218;&#x1295;&#x1348;&#x1235;&#x1361;&#x1218;&#x1218;&#x120D;&#x12A8;&#x1275;&#x1361;&#x12ED;&#x1308;&#x1263;&#x12CB;&#x120D;&#x1362;
002,Afroasiatic,Arabic – Bahrani,udhr_bahraini,"jinweldun kil'in'nas x&uuml;rrien u mits&ouml;wjin f'il k&auml;rame w'il xgyugy, m&uuml;gdejien b'il gh&auml;gy&uuml;lh w'id'dyemier u l&ouml;zim gheleig&uuml;m jighamlun b&auml;gh&auml;dyg&uuml;m b&auml;gh&auml;dy keqeng&uuml;m ixhwan."
003,Afroasiatic,Arabic – Egyptian,udhr_ar-egypt,&#x0627;&#x0644;&#x0625;&#x0639;&#x0644;&#x0627;&#x0646; &#x0627;&#x0644;&#x0639;&#x0627;&#x0644;&#x0645;&#x064A; &#x0644;&#x062D;&#x0642;&#x0648;&#x0642; &#x0627;&#x0644;&#x0625;&#x0646;&#x0633;&#x0627;&#x0646;&#x060C; &#x0627;&#x0644;&#x0645;&#x0627;&#x062F;&#x0629; &#x0627;&#x0644;&#x0623;&#x0648;&#x0644;&#x0627;&#x0646;&#x064A;&#x0629; &#x0627;&#x0644;&#x0628;&#x0646;&#x064A; &#x0623;&#x062F;&#x0645;&#x064A;&#x0646; &#x0643;&#x0644;&#x0647;&#x0645; &#x0645;&#x0648;&#x0644;&#x0648;&#x062F;&#x064A;&#x0646; &#x062D;&#x0631;&#x064A;&#x0646; &#x0648;&#x0645;&#x062A;&#x0633;&#x0627;&#x0648;&#x064A;&#x064A;&#x0646; &#x0641;&#x064A; &#x0627;&#x0644;&#x0643;&#x0631;&#x0627;&#x0645;&#x0629; &#x0648;&#x0627;&#x0644;&#x062D;&#x0642;&#x0648;&#x0642;. &#x0625;&#x062A;&#x0648;&#x0647;&#x0628;&#x0644;&#x0647;&#x0645; &#x0627;&#x0644;&#x0639;&#x0642;&#x0644; &#x0648;&#x0627;&#x0644;&#x0636;&#x0645;&#x064A;&#x0631;&#x060C; &#x0648;&#x0627;&#x0644;&#x0645;&#x0641;&#x0631;&#x0648;&#x0636; &#x064A;&#x0639;&#x0627;&#x0645;&#x0644;&#x0648;&#x0627; &#x0628;&#x0639;&#x0636; &#x0628;&#x0631;&#x0648;&#x062D; &#x0627;&#x0644;&#x0623;&#x062E;&#x0648;&#x064A;&#x0629;.
004,Afroasiatic,Arabic – Gulf Pidgin Arabic,udhr_ar-gpa,&#1603;&#1604;&#1608;&#1575; &#1606;&#1601;&#1585; &#1601;&#1610; &#1608;&#1604;&#1575;&#1583;&#1577; &#1581;&#1585; &#1608;&#1587;&#1605;&#1587;&#1605; &#1601;&#1610; &#1603;&#1585;&#1575;&#1605;&#1577; &#1608;&#1587;&#1605;&#1587;&#1605; &#1601;&#1610; &#1581;&#1602;&#1608;&#1602;. &#1575;&#1604;&#1604;&#1607; &#1601;&#1610; &#1573;&#1593;&#1591;&#1609; &#1607;&#1608; &#1593;&#1602;&#1604; &#1608;&#1590;&#1605;&#1610;&#1585;&#1548; &#1608;&#1604;&#1575;&#1586;&#1605; &#1607;&#1608; &#1587;&#1608;&#1610; &#1605;&#1593; &#1578;&#1575;&#1606;&#1610; &#1606;&#1601;&#1585; &#1587;&#1605;&#1587;&#1605; &#1571;&#1582;
005,Afroasiatic,Arabic – Lebanese,udhr_lebanese,"Kill el ba&#0161;ar byechlaq&ograve; a&#x0127;r&aacute;r w m&uuml;tas&eacute;vy&iacute;n bil car&aacute;met w'el &#x0127;oq&uacute;q. W hinn&eacute; nwahab&ograve; xaqel w &#x0111;am&iacute;r, w xleyun y'x&eacute;ml&ograve; baxdon el baxed b'r&uacute;&#x0127; el ochu&#x1E85;et."
006,Afroasiatic,Arabic – Modern Standard,udhr_ar,&#1610;&#1608;&#1604;&#1583; &#1580;&#1605;&#1610;&#1593; &#1575;&#1604;&#1606;&#1575;&#1587; &#1571;&#1581;&#1585;&#1575;&#1585;&#1575;&#1611; &#1605;&#1578;&#1587;&#1575;&#1608;&#1610;&#1606; &#1601;&#1610; &#1575;&#1604;&#1603;&#1585;&#1575;&#1605;&#1577; &#1608;&#1575;&#1604;&#1581;&#1602;&#1608;&#1602;. &#1608;&#1602;&#1583; &#1608;&#1607;&#1576;&#1608;&#1575; &#1593;&#1602;&#1604;&#1575;&#1611; &#1608;&#1590;&#1605;&#1610;&#1585;&#1575;&#1611; &#1608;&#1593;&#1604;&#1610;&#1607;&#1605; &#1575;&#1606; &#1610;&#1593;&#1575;&#1605;&#1604; &#1576;&#1593;&#1590;&#1607;&#1605; &#1576;&#1593;&#1590;&#1575;&#1611; &#1576;&#1585;&#1608;&#1581; &#1575;&#65273;&#1582;&#1575;&#1569;.
007,Afroasiatic,Arabic – Tunisian,udhr_ar-tunisia,In-n&egrave;s il-kull mulud&igrave;n &#x0127;urr&igrave;n w mits&egrave;w&igrave;n fi&rsquo;l-kar&agrave;me w&rsquo;il-&#x0127;uq&ugrave;q. Tag&#x0127;&#x0167;&agrave;w g&#x0127;qal w &#x017C;am&igrave;r w l&egrave;zim yg&#x0127;&agrave;mlu bg&#x0127;a&#x017C;hum k&igrave;f l-axwa.
008,Afroasiatic,Aramaic – Isaric dialect,udhr_aramaic,"Y&agrave;lid&iuml;n &igrave;non &#x010D;ol-&egrave;na&scaron;&euml;ya &#x010D;wa&thorn; &chi;e&#x1E01;rr&euml;ya we &scaron;&agrave;wy&euml;ya va &#x01E7;ur&#x010D;a we va z&igrave;dq&euml;ya. B&igrave;y&igrave;zv&#x0259;dun yal &chi;ue&scaron;aba we yal &thorn;e&#x1E01;r&thorn;a, we koy&igrave;s&#x02C0;&#x0259;run &chi;&agrave;d l&#x0259;wa&thorn; &chi;&agrave;d va ru&chi;a di &agrave;&chi;u&thorn;a."
009,Afroasiatic,Hebrew,udhr_hb,&#1499;&#1468;&#1465;&#1500; &#1489;&#1468;&#1456;&#1504;&#1461;&#1497; &#1492;&#1464;&#1488;&#1464;&#1491;&#1464;&#1501; &#1504;&#1493;&#1465;&#1500;&#1456;&#1491;&#1493;&#1468; &#1489;&#1468;&#1456;&#1504;&#1461;&#1497; &#1495;&#1493;&#1465;&#1512;&#1460;&#1497;&#1503; &#1493;&#1456;&#1513;&#1473;&#1464;&#1493;&#1460;&#1497;&#1501; &#1489;&#1468;&#1456;&#1506;&#1462;&#1512;&#1456;&#1499;&#1468;&#1464;&#1501; &#1493;&#1468;&#1489;&#1460;&#1494;&#1456;&#1499;&#1467;&#1497;&#1468;&#1493;&#1465;&#1514;&#1461;&#1497;&#1492;&#1462;&#1501;&#46; &#1499;&#1468;&#1467;&#1500;&#1468;&#1464;&#1501; &#1495;&#1493;&#1465;&#1504;&#1456;&#1504;&#1493;&#1468; &#1489;&#1468;&#1463;&#1514;&#1468;&#1456;&#1489;&#1493;&#1468;&#1504;&#1464;&#1492; &#1493;&#1468;&#1489;&#1456;&#1502;&#1463;&#1510;&#1456;&#1508;&#1468;&#1493;&#1468;&#1503;&#44; &#1500;&#1456;&#1508;&#1460;&#1497;&#1499;&#1464;&#1498;&#1456; &#1495;&#1493;&#1465;&#1489;&#1464;&#1492; &#1506;&#1458;&#1500;&#1461;&#1497;&#1492;&#1462;&#1501; &#1500;&#1460;&#1504;&#1456;&#1492;&#1465;&#1493;&#1490; &#1488;&#1460;&#1497;&#1513;&#1473; &#1489;&#1468;&#1456;&#1512;&#1461;&#1506;&#1461;&#1492;&#1493;&#1468; &#1489;&#1468;&#1456;&#1512;&#1493;&#1468;&#1495;&#1463; &#1513;&#1473;&#1462;&#1500; &#1488;&#1463;&#1495;&#1458;&#1493;&#1464;&#1492;&#46;
010,Afroasiatic,Maltese,udhr_maltese,Il-bnedmin kollha jitwieldu &#x0127;ielsa u ugwali fid-dinjit&#x00E0; u d-drittijiet. Huma mog&#x0127;nija bir-ra&#x0121;uni u bil-kuxjenza u g&#x0127;andhom in&#x0121;ibu ru&#x0127;hom ma' xulxin bi spirtu ta' a&#x0127;wa.
